,tweets,id,date,sentiment
0,"@ShilpiSinghINC @ShilpiSinghINC CONGRESS
...NO NEVER",1224843426346291205,2020-02-04 23:53:23,0
1,@arbaazk16 @nazmaaman @UnSubtleDesi This Assam incident you’re talking about is from 2011. Nine years ago. Congress… https://t.co/hmsycvIrtj,1224842288683212802,2020-02-04 23:48:52,0
2,@nazmaaman @UnSubtleDesi This Assam incident you’re talking about is from 2011. Nine years ago. Congress was in pow… https://t.co/VjvvZYxf5s,1224842225718349824,2020-02-04 23:48:37,0
3,RT @OpIndia_com: Zakia Jafri’s husband and former Congress MP Ehsan Jafri was killed by a mob which attacked Gulberg society during 2002 ri…,1224841683520503809,2020-02-04 23:46:28,-1
4,"RT @seriousfunnyguy: Sir @AmitShah ji, we are all with you until you decide to take in BJP, son of a Sr Italian origin Congress leader!",1224840610697203712,2020-02-04 23:42:12,0
5,"RT @OpIndia_com: Those who asked for proof of Surgical strikes, shed tears for Batla House terrorists: PM Modi calls out AAP and Congress i…",1224840325442736130,2020-02-04 23:41:04,0
6,"RT @INCIndia: One thing you have to understand is that if we do not give employment to our youth, then this state and the country will suff…",1224837047506165773,2020-02-04 23:28:03,0
7,"RT @INCIndia: The Congress party did not build Delhi, but the people of Delhi have. We only supported the people of Delhi. The tricolor is…",1224837003193331713,2020-02-04 23:27:52,0
8,"RT @INCIndia: Modi &amp; Kejriwal have come to power by lying. They lied about creating employment, giving farmers their due, lied about fixing…",1224836944548585474,2020-02-04 23:27:38,-1
9,"RT @chavinanupam: #Congress #BJP #AAP 
The MPs of Congress, BJP &amp; AAP , think ,behave &amp; act as real brothers &amp; sisters! They all have come",1224836615152922625,2020-02-04 23:26:20,1
10,RT @TOIDelhi: Former PM and senior #Congress leader Manmohan Singh during an election campaign meeting in support of party candidate Amande…,1224835792691851265,2020-02-04 23:23:03,0
11,"RT @juneymb: Congress had nothing to lose. 
So, why didn't Priyanka Gandhi visit Shaheen Bagh?",1224833977283796992,2020-02-04 23:15:51,0
12,"RT @abhijitmajumder: Far away from #ShaheenBagh, two days ago, a TMC leader in Bengal fired at anti-CAA protesters and killed two. MSM and…",1224833195327262721,2020-02-04 23:12:44,-1
13,"RT @erbmjha: Frustration Level: Congress 

Abusing BJP Leaders https://t.co/6CiQRY8wGK",1224833153111453697,2020-02-04 23:12:34,0
14,RT @Supriya23bh: Congress leader Mr @RahulGandhi starts campaign in #DelhiElections2020 ... Mr Gandhi all set to address a public meeting i…,1224832316486213632,2020-02-04 23:09:15,0
15,"RT @PTI_News: Former PM Manmohan Singh says it is a 'matter of shame' that despite being educated our youths have to run around for jobs, a…",1224827830040588288,2020-02-04 22:51:25,0
16,"RT @nistula: Very interesting story - Tracing Afghans in Delhi: ‘CAA won’t help. No one wants to settle in India, there are no jobs’ | Elec…",1224827738839601153,2020-02-04 22:51:03,1
17,"@ShashiTharoor @INCIndia Sir, have courage to accept weaknesses of Congress which had  created dissent. Be it impos… https://t.co/JInhIKdmtI",1224827736327258112,2020-02-04 22:51:03,0
18,"RT @prafullaketkar: Delhi should never forget that to whitewash the 'Tukade-Tukade' narrative of the wire Columnist #SharjeelImam , @AamAad…",1224826965150126081,2020-02-04 22:47:59,0
19,"RT @INCIndia: The Congress government had built 22,000 beds in hospitals. AAP government had promised 5 hospitals, they were not built and…",1224826802939531271,2020-02-04 22:47:20,0
20,"RT @iAnkurSingh: Congress leaders have their own priorities.

Mere naare lagao 🤣🤣 https://t.co/TFPzopRYXi",1224823830071238658,2020-02-04 22:35:31,1
21,RT @AashuMohammd: @NishantVarma19 Nishant ji- aapki bat sahi hai...lekin with compare to all Indian state government people found Kejriwal…,1224823096479309824,2020-02-04 22:32:36,0
22,"RT @erbmjha: Frustration Level: Congress 

Abusing BJP Leaders https://t.co/6CiQRY8wGK",1224821268744003584,2020-02-04 22:25:21,0
23,"RT @abhijitmajumder: Far away from #ShaheenBagh, two days ago, a TMC leader in Bengal fired at anti-CAA protesters and killed two. MSM and…",1224821016095932416,2020-02-04 22:24:20,-1
24,"RT @erbmjha: Frustration Level: Congress 

Abusing BJP Leaders https://t.co/6CiQRY8wGK",1224818016405209088,2020-02-04 22:12:25,0
25,RT @INCIndia: Providing quality education &amp; equal opportunity to all of Delhi's children is a priority for the Congress Party. We must inve…,1224816908110901250,2020-02-04 22:08:01,0
26,"RT @INCIndia: It is imperative that we work together to protect our water &amp; energy sources, therefore, the Congress party will launch an in…",1224816894940733445,2020-02-04 22:07:58,0
27,RT @INCIndia: The Congress govt will ensure every Delhi citizen will have access to quality healthcare. We will also ensure private hospita…,1224816871867867137,2020-02-04 22:07:52,0
28,"RT @INCIndia: The Congress government had built 22,000 beds in hospitals. AAP government had promised 5 hospitals, they were not built and…",1224816802032705536,2020-02-04 22:07:36,0
29,"RT @INCIndia: Modi &amp; Kejriwal have come to power by lying. They lied about creating employment, giving farmers their due, lied about fixing…",1224816714803752960,2020-02-04 22:07:15,-1
30,"RT @INCIndia: The Congress party did not build Delhi, but the people of Delhi have. We only supported the people of Delhi. The tricolor is…",1224816670302183424,2020-02-04 22:07:04,0
31,"RT @INCIndia: One thing you have to understand is that if we do not give employment to our youth, then this state and the country will suff…",1224816595018665986,2020-02-04 22:06:46,0
32,"@ANI Once again, congress forced him to come in front of media to give statement against MODI led BJP govt just bef… https://t.co/oRkjHwpQ5r",1224816167073636353,2020-02-04 22:05:04,-1
33,"RT @SevadalDLN: #फिर_से_कांग्रेस_वाली_दिल्ली

Delhi has suffered enough due to the 5 years of mis-governance, fake promises and blame game…",1224815904258527233,2020-02-04 22:04:02,-1
34,"RT @neetuvermasoin: Let's together make Congress Wali Dilli

#आपकी_नीतू #कांग्रेस_वाली_दिल्ली #CongressWaliDelhi 

@DelhiPMC @INCDelhi @Rah…",1224815775833346049,2020-02-04 22:03:31,0
35,"RT @INCIndia: Sheila Dixit ji and Congress built infrastructure, but AAP is taking credit for it. It is one thing to claim credit and one t…",1224815465458876416,2020-02-04 22:02:17,0
36,"RT @erbmjha: Frustration Level: Congress 

Abusing BJP Leaders https://t.co/6CiQRY8wGK",1224815254619582464,2020-02-04 22:01:27,0
37,"RT @PTI_News: Former PM Manmohan Singh says it is a 'matter of shame' that despite being educated our youths have to run around for jobs, a…",1224815249821458432,2020-02-04 22:01:26,0
38,RT @INCIndia: Providing quality education &amp; equal opportunity to all of Delhi's children is a priority for the Congress Party. We must inve…,1224814326428491776,2020-02-04 21:57:46,0
39,RT @AdityaMenon22: First Tom Vadakkan and now this one.  How will Congress survive without such mass leaders?,1224812104223535104,2020-02-04 21:48:56,1
40,"RT @erbmjha: Frustration Level: Congress 

Abusing BJP Leaders https://t.co/6CiQRY8wGK",1224811605671571456,2020-02-04 21:46:57,0
41,RT @ExSecular: Aaptards and Pidis both are replying to me .. aaptards defending congress and pidis defending Kejruddin .. Dono mein kya ris…,1224809268718657537,2020-02-04 21:37:40,0
42,RT @NH_India: The Sangh has been worried about the #BJP ’s declining base and Hindus being won over by the #Congress govt of #KamalNath. #R…,1224809234035929090,2020-02-04 21:37:31,-1
43,RT @Adv_RKRanjan: Who says #India_With_Shaheenbagh ?India is a vast country. Only some with the support of the Congress &amp; communist parties…,1224808327508582402,2020-02-04 21:33:55,0
44,"The criteria behind this is simple, BJP to lose 10-11% of its Loksabha vote share. Reduced from 57% to  45%. While… https://t.co/H4MLq8uzgQ",1224808047370833920,2020-02-04 21:32:48,-1
45,RT @Adv_RKRanjan: Who says #India_With_Shaheenbagh ?India is a vast country. Only some with the support of the Congress &amp; communist parties…,1224807631367364609,2020-02-04 21:31:09,0
46,RT @Supriya23bh: Congress to raise the issue of #AnanthHedge statement about #MahatmaGandhi in Lok Sabha today... Party MP Mr Hibi Eden mov…,1224806864673624064,2020-02-04 21:28:07,0
47,"#AAPKeTerrorists
Common man it can be bjp game plan.
Or it can be a Congress game as people are already against bjp… https://t.co/uBPpvmDxwl",1224806342847680512,2020-02-04 21:26:02,-1
48,RT @Supriya23bh: Congress to raise the issue of #AnanthHedge statement about #MahatmaGandhi in Lok Sabha today... Party MP Mr Hibi Eden mov…,1224805493496897536,2020-02-04 21:22:40,0
49,"Even in worst period BJP,s vote share was 32% it was eclipse of congress which made the victory record breaking rev… https://t.co/bIQwqlDB5m",1224804949780881408,2020-02-04 21:20:30,-1
50,There is reason to doubt Times Now opinion poll but that was prior to recital of Hanuman Chalisa a factor only futu… https://t.co/5zoAYifK72,1224804144650670080,2020-02-04 21:17:18,0
51,Sirjee does not talk about congress who knows it may be repeat of 2013 it was 32/28 / 10BJP/ AAP / Congress great political calculation Sir,1224803114336702464,2020-02-04 21:13:12,1
52,RT @AdityaMenon22: First Tom Vadakkan and now this one.  How will Congress survive without such mass leaders?,1224803009835569152,2020-02-04 21:12:47,1
53,"RT @saket71: Will Woke citizen @anuragkashyap72 will be attending an event by TMC Government??

Bengal Woman Teacher, Sister Tied, Dragged.…",1224802662027272193,2020-02-04 21:11:25,0
54,Sirjee Saheb threatened by shifting of Hindu Votes travelled too far to prove himself to be Hindu copying congress leaders temple visit,1224801388586102785,2020-02-04 21:06:21,1
55,"RT @OpIndia_com: Congress lies about Budget 2020, claims Modi Govt has reduced funds for Indian Railways: Here are the facts

#FactCheck #C…",1224800668113940480,2020-02-04 21:03:29,0
56,"RT @sanjukta: @RahulGandhi Hell yeah! Rahul Gandhi weighs in, in favour of @kunalkamra88. Let me remind you, #kunalkamra has said the worst…",1224800493756506112,2020-02-04 21:02:48,-1
57,RT @Supriya23bh: The Chief with ‘Whips’ !!! Congress leader Mr @RahulGandhi along with party whips’ in #LokSabha - Mr K Suresh and Mr @mani…,1224800099668283393,2020-02-04 21:01:14,0
58,RT @OpIndia_com: Zakia Jafri’s husband and former Congress MP Ehsan Jafri was killed by a mob which attacked Gulberg society during 2002 ri…,1224799514336419846,2020-02-04 20:58:54,-1
59,RT @Supriya23bh: War of words erupts between Congress and BJP on Congress leader @RahulGandhi speech : Nathuram Godse and PM Modi ideology…,1224799375953543168,2020-02-04 20:58:21,0
60,RT @AdityaMenon22: First Tom Vadakkan and now this one.  How will Congress survive without such mass leaders?,1224798380968120321,2020-02-04 20:54:24,1
61,RT @INCIndia: Providing quality education &amp; equal opportunity to all of Delhi's children is a priority for the Congress Party. We must inve…,1224797769820303361,2020-02-04 20:51:58,0
62,"RT @INCIndia: It is imperative that we work together to protect our water &amp; energy sources, therefore, the Congress party will launch an in…",1224797718821752832,2020-02-04 20:51:46,0
63,RT @INCIndia: The Congress govt will ensure every Delhi citizen will have access to quality healthcare. We will also ensure private hospita…,1224797602857639936,2020-02-04 20:51:18,0
64,@AshrafFem Congress 9 sach me 🙄,1224795532452945921,2020-02-04 20:43:05,0
65,@ShashiTharoor @INCIndia Sir ....you are great yar...why to worry about Congress...if you after being educated will… https://t.co/7y6TXYPH0B,1224795279880282112,2020-02-04 20:42:04,1
66,"RT @juneymb: Congress had nothing to lose. 
So, why didn't Priyanka Gandhi visit Shaheen Bagh?",1224795092965179392,2020-02-04 20:41:20,0
67,RT @ProfKapilKumar: Mr Tharoor dont forget it was Congress who got him made CM of Delhi first time by aligning with him in 2013 ! What abou…,1224794433029312512,2020-02-04 20:38:43,1
